Catégorie,Date de commande,Segment,Objectif de vente
Fournitures de bureau,22-04-2012,Entreprise,17
Fournitures de bureau,22-04-2012,Grand public,602
Mobilier,22-04-2012,Grand public,133
Produits technologiques,22-04-2012,Entreprise,607
Produits technologiques,22-04-2012,Grand public,251
Fournitures de bureau,25-04-2012,Grand public,36
Fournitures de bureau,26-04-2012,Entreprise,172
Fournitures de bureau,26-04-2012,Grand public,157
Mobilier,26-04-2012,Entreprise,48
Produits technologiques,26-04-2012,Grand public,697
Fournitures de bureau,27-04-2012,Entreprise,382
Fournitures de bureau,27-04-2012,Grand public,506
Mobilier,27-04-2012,Entreprise,769
Mobilier,27-04-2012,Grand public,2218
Fournitures de bureau,28-04-2012,Grand public,13
Fournitures de bureau,29-04-2012,Entreprise,174
Fournitures de bureau,29-04-2012,Entreprise individuelle,499
Fournitures de bureau,29-04-2012,Grand public,367
Fournitures de bureau,02-05-2012,Grand public,1361
Produits technologiques,02-05-2012,Grand public,173
Fournitures de bureau,03-05-2012,Entreprise,460
Produits technologiques,03-05-2012,Entreprise,619
Fournitures de bureau,04-05-2012,Entreprise,79
Fournitures de bureau,04-05-2012,Entreprise individuelle,64
Fournitures de bureau,04-05-2012,Grand public,495
Mobilier,04-05-2012,Entreprise,1236
Mobilier,04-05-2012,Entreprise individuelle,117
Produits technologiques,04-05-2012,Entreprise individuelle,57
Produits technologiques,04-05-2012,Grand public,2097
Fournitures de bureau,05-05-2012,Entreprise individuelle,386
Mobilier,05-05-2012,Entreprise individuelle,308
Produits technologiques,05-05-2012,Entreprise,1516
Fournitures de bureau,06-05-2012,Grand public,36
Mobilier,06-05-2012,Grand public,159
Fournitures de bureau,07-05-2012,Entreprise individuelle,182
Fournitures de bureau,07-05-2012,Grand public,84
Produits technologiques,07-05-2012,Grand public,242
Fournitures de bureau,09-05-2012,Grand public,27
Mobilier,09-05-2012,Entreprise,172
Fournitures de bureau,10-05-2012,Entreprise,665
Fournitures de bureau,10-05-2012,Grand public,236
Mobilier,10-05-2012,Grand public,87
Produits technologiques,10-05-2012,Entreprise,507
Produits technologiques,10-05-2012,Grand public,248
Fournitures de bureau,11-05-2012,Entreprise,69
Fournitures de bureau,11-05-2012,Grand public,387
Mobilier,11-05-2012,Grand public,167
Fournitures de bureau,12-05-2012,Entreprise,1025
Fournitures de bureau,12-05-2012,Grand public,22
Mobilier,12-05-2012,Entreprise individuelle,558
Fournitures de bureau,13-05-2012,Entreprise,95
Fournitures de bureau,13-05-2012,Entreprise individuelle,151
Produits technologiques,13-05-2012,Entreprise,1066
Produits technologiques,15-05-2012,Grand public,206
Fournitures de bureau,16-05-2012,Grand public,120
Fournitures de bureau,17-05-2012,Grand public,85
Produits technologiques,17-05-2012,Grand public,71
Fournitures de bureau,18-05-2012,Entreprise,50
Fournitures de bureau,18-05-2012,Entreprise individuelle,549
Fournitures de bureau,18-05-2012,Grand public,1008
Mobilier,18-05-2012,Grand public,1157
Fournitures de bureau,19-05-2012,Entreprise,604
Fournitures de bureau,19-05-2012,Entreprise individuelle,132
Fournitures de bureau,21-05-2012,Entreprise,77
Fournitures de bureau,21-05-2012,Grand public,15
Mobilier,21-05-2012,Grand public,447
Fournitures de bureau,25-05-2012,Entreprise,363
Produits technologiques,25-05-2012,Entreprise,1389
Fournitures de bureau,26-05-2012,Entreprise,2977
Fournitures de bureau,26-05-2012,Grand public,545
Mobilier,26-05-2012,Grand public,644
Fournitures de bureau,27-05-2012,Entreprise,46
Fournitures de bureau,27-05-2012,Grand public,652
Mobilier,27-05-2012,Grand public,1510
Produits technologiques,28-05-2012,Grand public,56
Mobilier,30-05-2012,Grand public,2206
Fournitures de bureau,31-05-2012,Grand public,99
Produits technologiques,31-05-2012,Grand public,540
Fournitures de bureau,01-06-2012,Entreprise,558
Fournitures de bureau,01-06-2012,Entreprise individuelle,113
Fournitures de bureau,01-06-2012,Grand public,172
Mobilier,01-06-2012,Entreprise,1019
Produits technologiques,01-06-2012,Entreprise,1614
Fournitures de bureau,02-06-2012,Entreprise,2137
Fournitures de bureau,02-06-2012,Grand public,48
Mobilier,02-06-2012,Entreprise,1259
Produits technologiques,02-06-2012,Entreprise,669
Produits technologiques,02-06-2012,Grand public,689
Fournitures de bureau,03-06-2012,Entreprise,384
Fournitures de bureau,04-06-2012,Entreprise,127
Produits technologiques,04-06-2012,Entreprise individuelle,338
Fournitures de bureau,06-06-2012,Entreprise,580
Fournitures de bureau,06-06-2012,Grand public,1068
Mobilier,06-06-2012,Entreprise individuelle,1228
Produits technologiques,06-06-2012,Entreprise,538
Fournitures de bureau,07-06-2012,Entreprise,440
Fournitures de bureau,07-06-2012,Entreprise individuelle,1199
Fournitures de bureau,07-06-2012,Grand public,297
Mobilier,07-06-2012,Entreprise,585
Mobilier,07-06-2012,Entreprise individuelle,136
Produits technologiques,07-06-2012,Entreprise,231
Produits technologiques,07-06-2012,Entreprise individuelle,684
Fournitures de bureau,08-06-2012,Entreprise,99
Fournitures de bureau,08-06-2012,Grand public,225
Mobilier,08-06-2012,Entreprise,274
Mobilier,08-06-2012,Grand public,154
Produits technologiques,08-06-2012,Entreprise,992
Produits technologiques,08-06-2012,Grand public,1474
Fournitures de bureau,09-06-2012,Entreprise,68
Fournitures de bureau,09-06-2012,Entreprise individuelle,828
Produits technologiques,09-06-2012,Grand public,708
Fournitures de bureau,10-06-2012,Entreprise,727
Fournitures de bureau,10-06-2012,Grand public,729
Mobilier,10-06-2012,Entreprise,460
Fournitures de bureau,11-06-2012,Entreprise,20
Mobilier,11-06-2012,Grand public,2138
Fournitures de bureau,13-06-2012,Entreprise,236
Fournitures de bureau,13-06-2012,Grand public,656
Mobilier,13-06-2012,Entreprise,646
Fournitures de bureau,14-06-2012,Entreprise,44
Fournitures de bureau,14-06-2012,Entreprise individuelle,241
Fournitures de bureau,14-06-2012,Grand public,321
Produits technologiques,14-06-2012,Entreprise,1119
Produits technologiques,14-06-2012,Grand public,693
Fournitures de bureau,15-06-2012,Entreprise,36
Fournitures de bureau,15-06-2012,Grand public,84
Produits technologiques,15-06-2012,Grand public,978
Fournitures de bureau,16-06-2012,Entreprise individuelle,61
Fournitures de bureau,16-06-2012,Grand public,634
Mobilier,16-06-2012,Entreprise,95
Mobilier,16-06-2012,Grand public,163
Produits technologiques,16-06-2012,Entreprise individuelle,666
Produits technologiques,16-06-2012,Grand public,224
Fournitures de bureau,17-06-2012,Entreprise,306
Fournitures de bureau,17-06-2012,Entreprise individuelle,175
Fournitures de bureau,17-06-2012,Grand public,27
Mobilier,17-06-2012,Entreprise individuelle,111
Mobilier,17-06-2012,Grand public,757
Produits technologiques,17-06-2012,Entreprise,555
Fournitures de bureau,18-06-2012,Grand public,291
Mobilier,18-06-2012,Grand public,2392
Produits technologiques,18-06-2012,Grand public,1015
Fournitures de bureau,20-06-2012,Entreprise,106
Fournitures de bureau,20-06-2012,Entreprise individuelle,123
Produits technologiques,20-06-2012,Entreprise individuelle,69
Produits technologiques,20-06-2012,Grand public,295
Fournitures de bureau,21-06-2012,Grand public,286
Mobilier,21-06-2012,Grand public,1645
Produits technologiques,21-06-2012,Grand public,397
Fournitures de bureau,22-06-2012,Entreprise,930
Fournitures de bureau,22-06-2012,Grand public,880
Mobilier,22-06-2012,Entreprise,1089
Mobilier,22-06-2012,Grand public,703
Produits technologiques,22-06-2012,Entreprise,379
Produits technologiques,22-06-2012,Grand public,1566
Fournitures de bureau,24-06-2012,Entreprise,48
Fournitures de bureau,24-06-2012,Grand public,543
Fournitures de bureau,25-06-2012,Entreprise,16
Fournitures de bureau,26-06-2012,Grand public,55
Mobilier,26-06-2012,Grand public,704
Fournitures de bureau,27-06-2012,Entreprise,262
Fournitures de bureau,27-06-2012,Grand public,106
Produits technologiques,27-06-2012,Entreprise,1175
Produits technologiques,27-06-2012,Entreprise individuelle,454
Fournitures de bureau,28-06-2012,Entreprise,237
Fournitures de bureau,28-06-2012,Entreprise individuelle,68
Fournitures de bureau,28-06-2012,Grand public,44
Mobilier,28-06-2012,Entreprise,222
Mobilier,28-06-2012,Entreprise individuelle,915
Mobilier,28-06-2012,Grand public,19
Produits technologiques,28-06-2012,Entreprise individuelle,346
Produits technologiques,28-06-2012,Grand public,616
Fournitures de bureau,29-06-2012,Grand public,602
Fournitures de bureau,01-07-2012,Grand public,34
Fournitures de bureau,02-07-2012,Grand public,33
Fournitures de bureau,04-07-2012,Grand public,808
Fournitures de bureau,06-07-2012,Entreprise individuelle,82
Fournitures de bureau,06-07-2012,Grand public,98
Mobilier,06-07-2012,Entreprise,173
Produits technologiques,06-07-2012,Entreprise,864
Produits technologiques,07-07-2012,Entreprise,1236
Fournitures de bureau,08-07-2012,Entreprise,496
Produits technologiques,08-07-2012,Entreprise,240
Fournitures de bureau,09-07-2012,Grand public,1178
Mobilier,09-07-2012,Grand public,97
Fournitures de bureau,11-07-2012,Entreprise,144
Fournitures de bureau,12-07-2012,Entreprise,58
Fournitures de bureau,12-07-2012,Entreprise individuelle,91
Fournitures de bureau,12-07-2012,Grand public,186
Mobilier,12-07-2012,Grand public,66
Produits technologiques,12-07-2012,Grand public,431
Fournitures de bureau,13-07-2012,Grand public,337
Fournitures de bureau,14-07-2012,Entreprise,503
Mobilier,14-07-2012,Entreprise,330
Produits technologiques,14-07-2012,Grand public,1745
Fournitures de bureau,16-07-2012,Grand public,25
Produits technologiques,16-07-2012,Grand public,555
Mobilier,18-07-2012,Grand public,289
Produits technologiques,18-07-2012,Entreprise individuelle,1171
Fournitures de bureau,20-07-2012,Entreprise,277
Fournitures de bureau,20-07-2012,Grand public,368
Mobilier,20-07-2012,Grand public,103
Fournitures de bureau,21-07-2012,Grand public,154
Mobilier,21-07-2012,Grand public,84
Fournitures de bureau,22-07-2012,Entreprise individuelle,12
Produits technologiques,22-07-2012,Entreprise individuelle,1553
Fournitures de bureau,24-07-2012,Grand public,55
Fournitures de bureau,26-07-2012,Grand public,192
Produits technologiques,26-07-2012,Grand public,191
Fournitures de bureau,27-07-2012,Entreprise,473
Fournitures de bureau,27-07-2012,Grand public,335
Produits technologiques,27-07-2012,Entreprise,149
Produits technologiques,27-07-2012,Grand public,1590
Mobilier,28-07-2012,Entreprise individuelle,598
Mobilier,28-07-2012,Grand public,78
Fournitures de bureau,29-07-2012,Entreprise,51
Fournitures de bureau,29-07-2012,Grand public,46
Mobilier,29-07-2012,Entreprise,99
Mobilier,29-07-2012,Grand public,179
Fournitures de bureau,31-07-2012,Entreprise,198
Fournitures de bureau,31-07-2012,Grand public,26
Mobilier,31-07-2012,Grand public,81
Fournitures de bureau,01-08-2012,Entreprise individuelle,252
Mobilier,01-08-2012,Grand public,246
Produits technologiques,01-08-2012,Entreprise individuelle,222
Fournitures de bureau,02-08-2012,Entreprise individuelle,23
Fournitures de bureau,03-08-2012,Entreprise,76
Fournitures de bureau,03-08-2012,Grand public,430
Mobilier,03-08-2012,Entreprise,1126
Mobilier,03-08-2012,Grand public,197
Produits technologiques,03-08-2012,Entreprise,353
Produits technologiques,03-08-2012,Grand public,69
Fournitures de bureau,04-08-2012,Entreprise,457
Fournitures de bureau,04-08-2012,Grand public,407
Produits technologiques,04-08-2012,Grand public,641
Fournitures de bureau,05-08-2012,Grand public,470
Mobilier,05-08-2012,Grand public,404
Produits technologiques,05-08-2012,Grand public,533
Fournitures de bureau,06-08-2012,Grand public,366
Mobilier,07-08-2012,Entreprise,36
Fournitures de bureau,08-08-2012,Entreprise individuelle,40
Fournitures de bureau,08-08-2012,Grand public,57
Produits technologiques,08-08-2012,Grand public,211
Fournitures de bureau,09-08-2012,Entreprise,519
Fournitures de bureau,09-08-2012,Entreprise individuelle,282
Fournitures de bureau,09-08-2012,Grand public,146
Mobilier,09-08-2012,Entreprise,220
Mobilier,09-08-2012,Entreprise individuelle,307
Mobilier,09-08-2012,Grand public,516
Produits technologiques,09-08-2012,Grand public,1589
Fournitures de bureau,10-08-2012,Entreprise,401
Fournitures de bureau,10-08-2012,Grand public,90
Produits technologiques,10-08-2012,Entreprise,385
Produits technologiques,10-08-2012,Grand public,4802
Fournitures de bureau,11-08-2012,Entreprise individuelle,41
Fournitures de bureau,11-08-2012,Grand public,872
Produits technologiques,11-08-2012,Grand public,43
Fournitures de bureau,12-08-2012,Entreprise,43
Fournitures de bureau,12-08-2012,Entreprise individuelle,142
Fournitures de bureau,12-08-2012,Grand public,267
Mobilier,12-08-2012,Grand public,138
Produits technologiques,12-08-2012,Grand public,1287
Fournitures de bureau,15-08-2012,Entreprise individuelle,86
Fournitures de bureau,15-08-2012,Grand public,833
Mobilier,15-08-2012,Grand public,1639
Produits technologiques,15-08-2012,Entreprise individuelle,175
Produits technologiques,15-08-2012,Grand public,178
Fournitures de bureau,16-08-2012,Entreprise,470
Fournitures de bureau,16-08-2012,Grand public,580
Mobilier,16-08-2012,Entreprise,44
Produits technologiques,16-08-2012,Entreprise,4453
Produits technologiques,16-08-2012,Grand public,683
Fournitures de bureau,17-08-2012,Grand public,220
Mobilier,17-08-2012,Grand public,1793
Fournitures de bureau,18-08-2012,Entreprise individuelle,26
Fournitures de bureau,18-08-2012,Grand public,905
Produits technologiques,18-08-2012,Entreprise individuelle,605
Produits technologiques,18-08-2012,Grand public,2186
Fournitures de bureau,19-08-2012,Entreprise,71
Fournitures de bureau,19-08-2012,Entreprise individuelle,71
Fournitures de bureau,21-08-2012,Grand public,1225
Mobilier,21-08-2012,Grand public,1145
Produits technologiques,21-08-2012,Grand public,221
Fournitures de bureau,22-08-2012,Grand public,682
Fournitures de bureau,23-08-2012,Entreprise,74
Fournitures de bureau,23-08-2012,Entreprise individuelle,16
Fournitures de bureau,23-08-2012,Grand public,276
Produits technologiques,23-08-2012,Entreprise,164
Produits technologiques,23-08-2012,Grand public,272
Fournitures de bureau,24-08-2012,Entreprise,720
Fournitures de bureau,24-08-2012,Grand public,51
Mobilier,24-08-2012,Entreprise,774
Mobilier,24-08-2012,Grand public,66
Produits technologiques,24-08-2012,Entreprise,429
Produits technologiques,24-08-2012,Grand public,191
Fournitures de bureau,25-08-2012,Entreprise,94
Fournitures de bureau,25-08-2012,Entreprise individuelle,213
Fournitures de bureau,25-08-2012,Grand public,475
Mobilier,25-08-2012,Grand public,391
Produits technologiques,25-08-2012,Grand public,385
Fournitures de bureau,26-08-2012,Entreprise,271
Fournitures de bureau,26-08-2012,Grand public,3517
Mobilier,26-08-2012,Grand public,2596
Produits technologiques,26-08-2012,Entreprise,511
Fournitures de bureau,27-08-2012,Entreprise,307
Mobilier,27-08-2012,Entreprise,227
Mobilier,27-08-2012,Grand public,617
Produits technologiques,27-08-2012,Entreprise,289
Produits technologiques,27-08-2012,Grand public,957
Fournitures de bureau,29-08-2012,Grand public,162
Mobilier,29-08-2012,Entreprise,79
Mobilier,29-08-2012,Grand public,171
Fournitures de bureau,30-08-2012,Entreprise,10
Fournitures de bureau,30-08-2012,Entreprise individuelle,75
Fournitures de bureau,30-08-2012,Grand public,580
Mobilier,30-08-2012,Grand public,78
Produits technologiques,30-08-2012,Entreprise individuelle,239
Produits technologiques,30-08-2012,Grand public,608
Fournitures de bureau,31-08-2012,Grand public,1682
Fournitures de bureau,01-09-2012,Entreprise,264
Fournitures de bureau,01-09-2012,Entreprise individuelle,184
Produits technologiques,01-09-2012,Grand public,1196
Fournitures de bureau,02-09-2012,Entreprise,131
Fournitures de bureau,02-09-2012,Grand public,223
Mobilier,02-09-2012,Entreprise,289
Mobilier,02-09-2012,Grand public,1249
Fournitures de bureau,03-09-2012,Entreprise individuelle,158
Fournitures de bureau,03-09-2012,Grand public,48
Produits technologiques,03-09-2012,Grand public,143
Fournitures de bureau,05-09-2012,Grand public,107
Mobilier,05-09-2012,Grand public,1105
Fournitures de bureau,06-09-2012,Entreprise,84
Fournitures de bureau,06-09-2012,Entreprise individuelle,562
Fournitures de bureau,06-09-2012,Grand public,1131
Mobilier,06-09-2012,Entreprise,759
Produits technologiques,06-09-2012,Entreprise,169
Produits technologiques,06-09-2012,Entreprise individuelle,692
Produits technologiques,06-09-2012,Grand public,368
Fournitures de bureau,07-09-2012,Entreprise,29
Fournitures de bureau,08-09-2012,Entreprise,7602
Fournitures de bureau,08-09-2012,Grand public,1960
Mobilier,08-09-2012,Grand public,1155
Produits technologiques,08-09-2012,Grand public,204
Fournitures de bureau,09-09-2012,Entreprise,200
Fournitures de bureau,09-09-2012,Entreprise individuelle,17
Mobilier,09-09-2012,Entreprise,584
Produits technologiques,09-09-2012,Entreprise,1704
Fournitures de bureau,10-09-2012,Grand public,290
Mobilier,10-09-2012,Grand public,91
Fournitures de bureau,12-09-2012,Entreprise,62
Fournitures de bureau,12-09-2012,Entreprise individuelle,1196
Produits technologiques,12-09-2012,Entreprise,746
Produits technologiques,12-09-2012,Entreprise individuelle,83
Fournitures de bureau,13-09-2012,Grand public,354
Fournitures de bureau,14-09-2012,Entreprise,21
Fournitures de bureau,14-09-2012,Grand public,739
Produits technologiques,14-09-2012,Entreprise,407
Produits technologiques,14-09-2012,Grand public,859
Fournitures de bureau,15-09-2012,Entreprise,58
Fournitures de bureau,15-09-2012,Entreprise individuelle,376
Fournitures de bureau,15-09-2012,Grand public,299
Mobilier,15-09-2012,Entreprise,840
Mobilier,15-09-2012,Entreprise individuelle,68
Mobilier,15-09-2012,Grand public,652
Produits technologiques,15-09-2012,Entreprise,1370
Produits technologiques,15-09-2012,Grand public,316
Fournitures de bureau,16-09-2012,Grand public,345
Mobilier,16-09-2012,Grand public,2525
Produits technologiques,16-09-2012,Grand public,1224
Fournitures de bureau,17-09-2012,Entreprise,416
Mobilier,17-09-2012,Entreprise,122
Mobilier,17-09-2012,Grand public,647
Fournitures de bureau,18-09-2012,Grand public,137
Mobilier,18-09-2012,Grand public,570
Produits technologiques,18-09-2012,Grand public,74
Fournitures de bureau,19-09-2012,Entreprise,184
Fournitures de bureau,19-09-2012,Entreprise individuelle,87
Fournitures de bureau,19-09-2012,Grand public,459
Mobilier,19-09-2012,Entreprise,336
Produits technologiques,19-09-2012,Grand public,1334
Fournitures de bureau,20-09-2012,Entreprise,154
Fournitures de bureau,20-09-2012,Grand public,350
Mobilier,20-09-2012,Grand public,281
Produits technologiques,20-09-2012,Grand public,5207
Fournitures de bureau,21-09-2012,Entreprise,32
Fournitures de bureau,21-09-2012,Entreprise individuelle,94
Mobilier,21-09-2012,Entreprise individuelle,1016
Fournitures de bureau,22-09-2012,Entreprise,251
Fournitures de bureau,22-09-2012,Entreprise individuelle,25
Fournitures de bureau,22-09-2012,Grand public,1807
Mobilier,22-09-2012,Entreprise individuelle,342
Produits technologiques,22-09-2012,Entreprise,187
Produits technologiques,22-09-2012,Grand public,121
